,rank,title,author,score,vote,rating
1160,1158,Starfarers,Vonda N. McIntyre,score: 70,2 people voted, 3.56 avg rating — 415 ratings
1161,1158,Guardians of Paradise,Jaine Fenn,score: 70,1 person voted, 3.91 avg rating — 99 ratings
1162,1158,Singing the Dogstar Blues,Alison Goodman,score: 70,1 person voted, 3.68 avg rating — 988 ratings
1163,1158,"Hotter on the Edge 2 (Hotter on the Edge, #2)",Erin Kellison,score: 70,1 person voted, 4.23 avg rating — 31 ratings
1164,1165,"Echoes of Regret (The Telomere Trilogy, #2)",A.R. Norris,score: 69,1 person voted, 3.67 avg rating — 3 ratings
1165,1165,Transition,Vonda N. McIntyre,score: 69,2 people voted, 3.71 avg rating — 249 ratings
1166,1165,Bringer Of Light,Jaine Fenn,score: 69,1 person voted, 3.99 avg rating — 69 ratings
1167,1165,Nimisha's Ship,Anne McCaffrey,score: 69,1 person voted," 3.92 avg rating — 3,348 ratings"
1168,1165,"The Change (Animorphs, #13)",K.A. Applegate,score: 69,1 person voted," 3.87 avg rating — 3,736 ratings"
1169,1170,"To Save a World (Darkover Omnibus, #7)",Marion Zimmer Bradley,score: 68,1 person voted, 3.95 avg rating — 297 ratings
1170,1170,"Mako's Bounty (1Night Stand, #95)",Diane Dooley,score: 68,1 person voted,really liked it 4.00 avg rating — 23 ratings
1171,1170,"Reliquary (Stargate Atlantis, #2)",Martha Wells,score: 68,1 person voted, 3.91 avg rating — 616 ratings
1172,1170,"Fires of Azeroth (Morgaine & Vanye, #3)",C.J. Cherryh,score: 68,2 people voted," 4.05 avg rating — 1,056 ratings"
1173,1170,"Well of Shiuan (Morgaine & Vanye, #2)",C.J. Cherryh,score: 68,2 people voted," 3.93 avg rating — 1,171 ratings"
1174,1170,"The Threat (Animorphs, #21)",K.A. Applegate,score: 68,1 person voted," 3.83 avg rating — 2,617 ratings"
1175,1170,Technogenesis,Syne Mitchell,score: 68,1 person voted, 3.94 avg rating — 144 ratings
1176,1177,"Kicking Ashe (Project Enterprise, #5)",Pauline Baird Jones,score: 67,1 person voted, 4.13 avg rating — 54 ratings
1177,1177,"Entanglement (Stargate Atlantis, #6)",Martha Wells,score: 67,1 person voted, 3.89 avg rating — 417 ratings
1178,1177,"Darkover: First Contact (Darkover Omnibus, #6)",Marion Zimmer Bradley,score: 67,2 people voted, 3.97 avg rating — 988 ratings
1179,1177,"Hunted (Medusa Project, #4)",Sophie McKenzie,score: 67,1 person voted," 4.15 avg rating — 1,408 ratings"
1180,1177,"The Discovery (Animorphs, #20)",K.A. Applegate,score: 67,1 person voted," 3.78 avg rating — 2,879 ratings"
1181,1182,Painted Promise,Kim Knox,score: 66,1 person voted, 4.13 avg rating — 15 ratings
1182,1182,Metaphase,Vonda N. McIntyre,score: 66,2 people voted, 3.75 avg rating — 207 ratings
1183,1182,"Hell's End (Hellscape, #1)",Ally Blue,score: 66,1 person voted, 3.34 avg rating — 110 ratings
1184,1182,Ark Baby,Liz Jensen,score: 66,1 person voted, 3.87 avg rating — 267 ratings
1185,1182,"The Solution (Animorphs, #22)",K.A. Applegate,score: 66,1 person voted," 3.92 avg rating — 2,759 ratings"
1186,1182,"Starglass (Starglass, #1)",Phoebe North,score: 66,1 person voted," 3.62 avg rating — 2,325 ratings"
1187,1182,Only Ever Yours,Louise O'Neill,score: 66,1 person voted," 3.78 avg rating — 11,439 ratings"
1188,1189,Survey Ship,Marion Zimmer Bradley,score: 65,1 person voted, 3.53 avg rating — 296 ratings
1189,1189,"Line and Orbit (Root Code, #1)",Sunny Moraine,score: 65,1 person voted, 3.85 avg rating — 779 ratings
1190,1189,"The Underground (Animorphs, #17)",K.A. Applegate,score: 65,1 person voted," 3.70 avg rating — 2,923 ratings"
1191,1189,Earth's Last Citadel,C.L. Moore,score: 65,1 person voted, 3.18 avg rating — 119 ratings
1192,1189,Gather the Daughters,Jennie Melamed,score: 65,1 person voted," 3.63 avg rating — 5,907 ratings"
1193,1189,"A Symphony of Echoes (The Chronicles of St Mary's, #2)",Jodi Taylor,score: 65,1 person voted," 4.14 avg rating — 10,585 ratings"
1194,1195,Solar Storm,Mina Carter,score: 64,1 person voted, 3.82 avg rating — 191 ratings
1195,1195,Dr. Franklin's Island,Ann Halam,score: 64,1 person voted," 3.92 avg rating — 2,130 ratings"
1196,1195,"The Warning (Animorphs, #16)",K.A. Applegate,score: 64,1 person voted," 3.73 avg rating — 3,099 ratings"
1197,1195,"Just One Damned Thing After Another (The Chronicles of St Mary's, #1)",Jodi Taylor,score: 64,1 person voted," 3.89 avg rating — 21,758 ratings"
1198,1199,The Silver Spoon,Stacey Klemstein,score: 63,1 person voted, 3.91 avg rating — 22 ratings
1199,1199,Doc and Fluff: The Dystopian Tale of a Girl and Her Biker,Patrick Califia-Rice,score: 63,1 person voted, 3.73 avg rating — 207 ratings
1200,1199,Consorts of Heaven,Jaine Fenn,score: 63,1 person voted, 3.86 avg rating — 111 ratings
1201,1199,"His Clockwork Canary (The Glorious Victorious Darcys, #2)",Beth Ciotta,score: 63,1 person voted, 3.70 avg rating — 297 ratings
1202,1199,"Changing Women (A Woman of the Iron People, #2)",Eleanor Arnason,score: 63,1 person voted, 4.04 avg rating — 46 ratings
1203,1199,"The Clouded Sky (Earth & Sky, #2)",Megan Crewe,score: 63,1 person voted, 3.84 avg rating — 280 ratings
1204,1199,"The Decision (Animorphs, #18)",K.A. Applegate,score: 63,1 person voted," 3.78 avg rating — 2,874 ratings"
1205,1199,"The Far Time Incident (The Incident Series, #1)",Neve Maslakovic,score: 63,1 person voted, 3.48 avg rating — 655 ratings
1206,1199,Forest of Memory,Mary Robinette Kowal,score: 63,1 person voted," 3.59 avg rating — 1,015 ratings"
1207,1199,"The Invasion of the Tearling (The Queen of the Tearling, #2)",Erika Johansen,score: 63,1 person voted," 4.12 avg rating — 40,932 ratings"
1208,1209,7% and Rising,Kim Knox,score: 62,1 person voted, 3.38 avg rating — 13 ratings
1209,1209,"Tortured (Birthmarked, #1.5)",Caragh M. O'Brien,score: 62,1 person voted," 3.83 avg rating — 4,612 ratings"
1210,1209,"Don't Feed the Fairies (The Cytolene Chronicles, #1)",Eileen Gormley,score: 62,1 person voted, 3.70 avg rating — 50 ratings
1211,1209,Shadow on the Hearth,Judith Merril,score: 62,1 person voted, 3.54 avg rating — 48 ratings
1212,1209,"Those Who Lived (Fallen World, #3.5)",Megan Crewe,score: 62,1 person voted, 3.85 avg rating — 112 ratings
1213,1209,"The Departure (Animorphs, #19)",K.A. Applegate,score: 62,1 person voted," 3.85 avg rating — 3,039 ratings"
1214,1209,"Origin (Corpus, #1)",Jessica Khoury,score: 62,1 person voted," 3.89 avg rating — 14,142 ratings"
1215,1209,"The Just City (Thessaly, #1)",Jo Walton,score: 62,1 person voted," 3.77 avg rating — 5,161 ratings"
1216,1217,"Unmasked (UN-Forgettable, #4)",C.J. Barry,score: 61,1 person voted, 3.86 avg rating — 324 ratings
1217,1217,"Earth & Sky (Earth & Sky, #1)",Megan Crewe,score: 61,1 person voted, 3.46 avg rating — 823 ratings
1218,1217,"The Forgotten (Animorphs, #11)",K.A. Applegate,score: 61,1 person voted," 3.72 avg rating — 3,504 ratings"
1219,1217,Lightwing,Tara K. Harper,score: 61,1 person voted, 3.77 avg rating — 175 ratings
1220,1221,"The Worlds We Make (Fallen World, #3)",Megan Crewe,score: 60,1 person voted," 3.81 avg rating — 1,139 ratings"
1221,1221,Elysium,Jennifer Marie Brissett,score: 60,1 person voted, 3.58 avg rating — 701 ratings
1222,1221,"The Escape (Animorphs, #15)",K.A. Applegate,score: 60,1 person voted," 3.78 avg rating — 3,281 ratings"
1223,1224,Half the Day is Night,Maureen F. McHugh,score: 59,2 people voted, 3.38 avg rating — 234 ratings
1224,1224,"Dining Out with the Ice Giants (Dining Out Around The Solar System, #2)",Clare O'Beara,score: 59,1 person voted, 4.53 avg rating — 30 ratings
1225,1224,Brave New Worlds,John Joseph Adams,score: 59,1 person voted," 4.05 avg rating — 2,358 ratings"
1226,1224,"The Lives We Lost (Fallen World, #2)",Megan Crewe,score: 59,1 person voted," 3.86 avg rating — 2,353 ratings"
1227,1224,"The Unknown (Animorphs, #14)",K.A. Applegate,score: 59,1 person voted," 3.63 avg rating — 3,290 ratings"
1228,1229,"Star Shadows (Oasis, #3)",Colby Hodge,score: 58,1 person voted, 3.57 avg rating — 76 ratings
1229,1229,"The Brede Chronicles (The Brede Chronicles, #1)",P.I. Barrington,score: 58,1 person voted, 4.30 avg rating — 27 ratings
1230,1229,Extraordinary Engines: The Definitive Steampunk Anthology,Nick Gevers,score: 58,1 person voted, 3.57 avg rating — 734 ratings
1231,1229,"The Way We Fall (Fallen World, #1)",Megan Crewe,score: 58,1 person voted," 3.69 avg rating — 7,470 ratings"
1232,1229,"Visser (Animorphs Chronicles, #3)",K.A. Applegate,score: 58,1 person voted," 4.07 avg rating — 2,279 ratings"
1233,1229,Earth Dreams,Janet E. Morris,score: 58,1 person voted, 3.93 avg rating — 103 ratings
1234,1235,The Body Electric,Beth Revis,score: 57,1 person voted," 3.72 avg rating — 2,018 ratings"
1235,1235,"The Secret (Animorphs, #9)",K.A. Applegate,score: 57,1 person voted," 3.69 avg rating — 3,871 ratings"
1236,1235,"Dining Out with the Gas Giants (Dining Out Around The Solar System, #3)",Clare O'Beara,score: 57,1 person voted, 4.45 avg rating — 11 ratings
1237,1238,"Green Heart (Green Angel, #1-2)",Alice Hoffman,score: 56,1 person voted," 3.98 avg rating — 1,751 ratings"
1238,1238,AfroSF: Science Fiction by African Writers,Ivor W. Hartmann,score: 56,1 person voted, 3.87 avg rating — 191 ratings
1239,1238,"As They Slip Away (Across the Universe, #2.5)",Beth Revis,score: 56,1 person voted," 3.80 avg rating — 2,436 ratings"
1240,1238,"The Reaction (Animorphs, #12)",K.A. Applegate,score: 56,1 person voted," 3.72 avg rating — 3,669 ratings"
1241,1242,Taking Liberty,Jodi Redford,score: 55,1 person voted, 3.79 avg rating — 68 ratings
1242,1242,"Shades of Earth (Across the Universe, #3)",Beth Revis,score: 55,1 person voted," 4.09 avg rating — 29,479 ratings"
1243,1242,"The Android (Animorphs, #10)",K.A. Applegate,score: 55,1 person voted," 3.76 avg rating — 3,803 ratings"
1244,1245,Star-Crossed,Marilynn Byerly,score: 54,1 person voted,really liked it 4.00 avg rating — 7 ratings
1245,1245,"Oddily (Oddily, #1)",Linda Pohring,score: 54,1 person voted, 3.35 avg rating — 631 ratings
1246,1245,The Diploids and Other Flights of Fancy,Katherine Anne MacLean,score: 54,1 person voted, 3.29 avg rating — 14 ratings
1247,1245,"A Million Suns (Across the Universe, #2)",Beth Revis,score: 54,1 person voted," 4.02 avg rating — 50,068 ratings"
1248,1245,"The Predator (Animorphs, #5)",K.A. Applegate,score: 54,1 person voted," 3.81 avg rating — 5,021 ratings"
1249,1250,Undertow,Elizabeth Bear,score: 53,1 person voted, 3.50 avg rating — 515 ratings
1250,1250,"Bumped (Bumped, #1)",Megan McCafferty,score: 53,1 person voted," 3.12 avg rating — 12,783 ratings"
1251,1250,"The Capture (Animorphs, #6)",K.A. Applegate,score: 53,1 person voted," 3.87 avg rating — 5,449 ratings"
1252,1253,"Dushau (Dushau Trilogy, #1)",Jacqueline Lichtenberg,score: 52,1 person voted, 3.81 avg rating — 52 ratings
1253,1253,"Close Encounters (Alien Affairs, #1)",Katherine Allred,score: 52,2 people voted," 3.66 avg rating — 1,186 ratings"
1254,1253,Swans and Klons,Nora Olsen,score: 52,1 person voted, 2.81 avg rating — 123 ratings
1255,1253,The Stars Are Ours,Andre Norton,score: 52,1 person voted, 3.90 avg rating — 725 ratings
1256,1253,"The Stranger (Animorphs, #7)",K.A. Applegate,score: 52,1 person voted," 3.80 avg rating — 4,638 ratings"
1257,1258,The Procedure,Margaret Belle,score: 51,1 person voted, 3.24 avg rating — 629 ratings
1258,1258,"Out of Time (Time Travelers, #2)",Caroline B. Cooney,score: 51,1 person voted," 3.88 avg rating — 2,805 ratings"
1259,1258,"The Alien (Animorphs, #8)",K.A. Applegate,score: 51,1 person voted," 3.87 avg rating — 4,956 ratings"
1260,1261,The Divide Book 1: Uprising,Kim Flowers,score: 50,1 person voted,really liked it 4.00 avg rating — 16 ratings
1261,1261,Memoirs of a Spacewoman,Naomi Mitchison,score: 50,1 person voted, 3.62 avg rating — 223 ratings
1262,1261,Code Orange,Caroline B. Cooney,score: 50,1 person voted," 3.64 avg rating — 6,087 ratings"
1263,1261,"The Message (Animorphs, #4)",K.A. Applegate,score: 50,1 person voted," 3.84 avg rating — 5,910 ratings"
1264,1261,"Miles, Mutants, and Microbes (Vorkosigan Omnibus, #5)",Lois McMaster Bujold,score: 50,1 person voted," 4.43 avg rating — 2,669 ratings"
1265,1266,Star Crash,Elysa Hendricks,score: 49,1 person voted, 3.18 avg rating — 65 ratings
1266,1266,Jerlayne,Lynn Abbey,score: 49,1 person voted, 3.65 avg rating — 220 ratings
1267,1266,Daughter of Elysium,Joan Slonczewski,score: 49,1 person voted, 3.93 avg rating — 304 ratings
1268,1266,Swastika Night,Katharine Burdekin,score: 49,2 people voted," 3.64 avg rating — 1,502 ratings"
1269,1266,"For All Time (Time Travelers, #4)",Caroline B. Cooney,score: 49,1 person voted," 3.91 avg rating — 1,645 ratings"
1270,1266,"The Encounter (Animorphs, #3)",K.A. Applegate,score: 49,1 person voted," 3.83 avg rating — 6,244 ratings"
1271,1266,A Matter of Oaths,Helen S. Wright,score: 49,1 person voted, 3.78 avg rating — 230 ratings
1272,1273,"Adaptation (Adaptation, #1)",Malinda Lo,score: 48,1 person voted," 3.63 avg rating — 6,632 ratings"
1273,1273,"Prisoner of Time (Time Travelers, #3)",Caroline B. Cooney,score: 48,1 person voted," 3.81 avg rating — 2,244 ratings"
1274,1273,"The Visitor (Animorphs, #2)",K.A. Applegate,score: 48,1 person voted," 3.80 avg rating — 6,997 ratings"
1275,1273,"Miles Errant (Vorkosigan Omnibus, #4)",Lois McMaster Bujold,score: 48,1 person voted," 4.44 avg rating — 3,959 ratings"
1276,1277,"Both Sides of Time (Time Travelers, #1)",Caroline B. Cooney,score: 47,1 person voted," 3.92 avg rating — 3,774 ratings"
1277,1277,"The Invasion (Animorphs, #1)",K.A. Applegate,score: 47,1 person voted," 3.80 avg rating — 12,483 ratings"
1278,1277,Extra (Ordinary) People,Joanna Russ,score: 47,1 person voted, 3.81 avg rating — 174 ratings
1279,1280,"Apocalypse For Realz (Apocalypse Babes, #6)",Bella Street,score: 46,1 person voted, 4.36 avg rating — 36 ratings
1280,1280,"Kutath (The Faded Sun, #3)",C.J. Cherryh,score: 46,1 person voted," 4.07 avg rating — 1,275 ratings"
1281,1280,"The Eternity Cure (Blood of Eden, #2)",Julie Kagawa,score: 46,1 person voted," 4.24 avg rating — 33,600 ratings"
1282,1280,Labyrinth,Lois McMaster Bujold,score: 46,1 person voted," 4.15 avg rating — 3,598 ratings"
1283,1284,"Bite Me (Apocalypse Babes, #5)",Bella Street,score: 45,1 person voted, 4.18 avg rating — 38 ratings
1284,1284,The Method,Juli Zeh,score: 45,1 person voted," 3.56 avg rating — 2,289 ratings"
1285,1284,"'Til the World Ends (Blood of Eden, #0.5)",Julie Kagawa,score: 45,1 person voted," 3.79 avg rating — 1,192 ratings"
1286,1287,"The X Factor (Apocalypse Babes, #2)",Bella Street,score: 44,1 person voted, 4.12 avg rating — 66 ratings
1287,1287,"The Forever Song (Blood of Eden, #3)",Julie Kagawa,score: 44,1 person voted," 4.18 avg rating — 17,944 ratings"
1288,1287,The Crystal Ship: Three Original Novellas of Science Fiction,Robert Silverberg,score: 44,1 person voted, 3.70 avg rating — 40 ratings
1289,1287,"Divided Allegiance (The Deed of Paksenarrion, #2)",Elizabeth Moon,score: 44,2 people voted," 4.17 avg rating — 5,341 ratings"
1290,1291,"iRobotronic (Apocalypse Babes, #3)",Bella Street,score: 43,1 person voted, 4.23 avg rating — 53 ratings
1291,1291,The Eye of the Heron,Ursula K. Le Guin,score: 43,1 person voted," 3.72 avg rating — 1,783 ratings"
1292,1291,"Dawn of Eden (Blood of Eden, #0.5)",Julie Kagawa,score: 43,1 person voted, 3.97 avg rating — 876 ratings
1293,1294,Break Out (Dark Desires #1),Nina Croft,score: 42,1 person voted, 3.62 avg rating — 866 ratings
1294,1294,"The Agent Gambit (Liaden Universe, #9-10)",Sharon Lee,score: 42,3 people voted, 4.44 avg rating — 669 ratings
1295,1294,Walking the Clouds: An Anthology of Indigenous Science Fiction,Grace L. Dillon,score: 42,1 person voted, 3.73 avg rating — 201 ratings
1296,1294,"The Immortal Rules (Blood of Eden, #1)",Julie Kagawa,score: 42,1 person voted," 4.09 avg rating — 61,085 ratings"
1297,1298,"Kumbaya Much (Apocalypse Babes, #4)",Bella Street,score: 41,1 person voted, 4.30 avg rating — 46 ratings
1298,1298,Barbary,Vonda N. McIntyre,score: 41,1 person voted, 3.49 avg rating — 139 ratings
1299,1298,"The Blaft Anthology of Tamil Pulp Fiction, Vol. I",Rakesh Khanna,score: 41,1 person voted, 3.53 avg rating — 313 ratings
1300,1298,"Unraveled (Crewel World, #3)",Gennifer Albin,score: 41,1 person voted," 3.55 avg rating — 2,244 ratings"
1301,1298,"Catspaw (Cat, #2)",Joan D. Vinge,score: 41,1 person voted," 4.12 avg rating — 2,054 ratings"
1302,1303,"Revelations of Tomorrow (The Telomere Trilogy, #1) ",A.R. Norris,score: 40,1 person voted, 3.67 avg rating — 3 ratings
1303,1303,Mission Child,Maureen F. McHugh,score: 40,1 person voted, 3.70 avg rating — 456 ratings
1304,1303,The Girl in the Road,Monica Byrne,score: 40,1 person voted," 3.50 avg rating — 2,781 ratings"
1305,1306,Born (B Cubed #1),Jenna McCormick,score: 39,1 person voted, 3.56 avg rating — 206 ratings
1306,1306,"The Department of Alterations (Crewel World, #0.5)",Gennifer Albin,score: 39,1 person voted, 3.34 avg rating — 479 ratings
1307,1308,Sea As Mirror,Tess  Williams,score: 38,1 person voted,liked it 3.00 avg rating — 9 ratings
1308,1308,"The Z Word (Apocalypse Babes, #1)",Bella Street,score: 38,1 person voted, 3.22 avg rating — 192 ratings
1309,1308,The Journal Of Nicholas The American,Leigh Kennedy,score: 38,1 person voted, 3.93 avg rating — 28 ratings
1310,1311,Map of Power,Tess  Williams,score: 37,1 person voted, 3.50 avg rating — 8 ratings
1311,1311,"Body Master (The Body, #1)",C.J. Barry,score: 37,1 person voted, 3.68 avg rating — 148 ratings
1312,1311,Moxyland,Lauren Beukes,score: 37,1 person voted," 3.62 avg rating — 2,900 ratings"
1313,1311,"What Mario Scietto Says (Monument 14, #2.5)",Emmy Laybourne,score: 37,1 person voted, 3.72 avg rating — 355 ratings
1314,1311,"Dreamfall (Cat, #3)",Joan D. Vinge,score: 37,1 person voted," 3.88 avg rating — 1,124 ratings"
1315,1316,"Hunting Kat (The Triton Experiment, #1)",P.J. Schnyder,score: 36,1 person voted, 3.58 avg rating — 162 ratings
1316,1316,"Jake and the Other Girl (Monument 14, #1.5)",Emmy Laybourne,score: 36,1 person voted, 3.31 avg rating — 688 ratings
1317,1318,Friend or Foe,Frances Pauli,score: 35,1 person voted,it was amazing 5.00 avg rating — 3 ratings
1318,1318,Dreamweaver's Dilemma,Lois McMaster Bujold,score: 35,2 people voted," 3.79 avg rating — 1,175 ratings"
1319,1318,"Savage Drift (Monument 14, #3)",Emmy Laybourne,score: 35,1 person voted," 4.07 avg rating — 5,658 ratings"
1320,1321,Gambit,Kim Knox,score: 34,1 person voted, 3.21 avg rating — 67 ratings
1321,1321,The Dream Years,Lisa Goldstein,score: 34,1 person voted, 3.80 avg rating — 127 ratings
1322,1321,"Dress Your Marines in White (Monument 14, #0.5)",Emmy Laybourne,score: 34,1 person voted, 3.64 avg rating — 836 ratings
1323,1324,"Jaq's Harp (Future Tales, #1)",Ella Drake,score: 33,1 person voted, 3.43 avg rating — 67 ratings
1324,1324,"Sky on Fire (Monument 14, #2)",Emmy Laybourne,score: 33,1 person voted," 4.06 avg rating — 10,104 ratings"
1325,1326,The Spiral Path,Lisa Paitz Spindler,score: 32,1 person voted, 3.42 avg rating — 38 ratings
1326,1326,Dogs of War,Sheila Keenan,score: 32,1 person voted," 3.96 avg rating — 1,463 ratings"
1327,1326,"Monument 14 (Monument 14, #1)",Emmy Laybourne,score: 32,1 person voted," 3.90 avg rating — 20,877 ratings"
1328,1326,"Hidden in Sight (Web Shifters, # 3)",Julie E. Czerneda,score: 32,1 person voted, 4.16 avg rating — 619 ratings
1329,1330,"Changing Vision (Web Shifters, #2)",Julie E. Czerneda,score: 31,1 person voted, 4.09 avg rating — 766 ratings
1330,1331,"Port Eternity (Age of Exploration, #1)",C.J. Cherryh,score: 30,1 person voted, 3.53 avg rating — 539 ratings
1331,1331,"To Trade the Stars (Trade Pact Universe, #3)",Julie E. Czerneda,score: 30,1 person voted," 4.02 avg rating — 1,054 ratings"
1332,1333,"Ties of Power (Trade Pact Universe, #2)",Julie E. Czerneda,score: 29,1 person voted," 3.95 avg rating — 1,039 ratings"
1333,1334,"Space Junque (Apocalypto, #1)",L.K. Rigel,score: 28,1 person voted, 3.18 avg rating — 728 ratings
1334,1335,The Death of Sleep,Anne McCaffrey,score: 26,2 people voted," 3.82 avg rating — 2,771 ratings"
1335,1336,Breaking Chance,Kim Knox,score: 25,1 person voted, 3.48 avg rating — 64 ratings
1336,1336,"Shon'jir (The Faded Sun, #2)",C.J. Cherryh,score: 25,1 person voted," 4.06 avg rating — 1,260 ratings"
1337,1336,"Hardship (Theirs Not to Reason Why, #4)",Jean Johnson,score: 25,1 person voted," 4.16 avg rating — 1,663 ratings"
1338,1336,"The Wilding (In Conquest Born, #2)",C.S. Friedman,score: 25,1 person voted, 3.64 avg rating — 976 ratings
1339,1340,"Tsunami Blue (Tsunami Blue, #1)",Gayle Ann Williams,score: 24,1 person voted, 3.77 avg rating — 391 ratings
1340,1340,"Hellburner (The Company Wars, #5)",C.J. Cherryh,score: 24,1 person voted," 3.87 avg rating — 1,303 ratings"
1341,1340,"Protector (Foreigner, #14)",C.J. Cherryh,score: 24,1 person voted," 4.30 avg rating — 1,439 ratings"
1342,1343,Keeping It Real (Quantum Gravity #1),Justina Robson,score: 23,1 person voted," 3.47 avg rating — 2,535 ratings"
1343,1343,"Promise of the Flame (The Hidden Flame, #2)",Sylvia Engdahl,score: 23,1 person voted, 4.05 avg rating — 55 ratings
1344,1345,Exile's Gate (Morgaine Saga #4),C.J. Cherryh,score: 22,1 person voted," 4.08 avg rating — 1,527 ratings"
1345,1346,The Long Tomorrow,Leigh Brackett,score: 21,1 person voted," 3.64 avg rating — 1,839 ratings"
1346,1347,Frozen Heart,Annabelle Blume,score: 20,1 person voted, 3.97 avg rating — 65 ratings
1347,1347,"Kesrith (The Faded Sun, #1)",C.J. Cherryh,score: 20,1 person voted," 3.98 avg rating — 2,025 ratings"
1348,1347,"The Diamond Deep (Ruby's Song, #2)",Brenda Cooper,score: 20,1 person voted, 3.57 avg rating — 65 ratings
1349,1350,Dark Host,Kim Knox,score: 19,1 person voted, 3.73 avg rating — 15 ratings
1350,1351,"The Better Part of Valor (Confederation, #2)",Tanya Huff,score: 18,1 person voted," 4.05 avg rating — 4,692 ratings"
1351,1352,"Valor's Trial (Confederation, #4)",Tanya Huff,score: 17,1 person voted," 4.10 avg rating — 4,342 ratings"
1352,1353,"Dreams of the Queen (The Brajj, #1)",Jacqueline Patricks,score: 16,1 person voted, 3.82 avg rating — 95 ratings
1353,1353,Blind Space,Marie Sexton,score: 16,1 person voted," 3.71 avg rating — 1,826 ratings"
1354,1355,"Among the Living (PsyCop, #1)",Jordan Castillo Price,score: 15,1 person voted,"really liked it 4.00 avg rating — 6,876 ratings"
1355,1356,Queenie's Brigade,Heather Massey,score: 14,1 person voted, 3.15 avg rating — 27 ratings
1356,1356,"Hellfire (Theirs Not to Reason Why, #3)",Jean Johnson,score: 14,1 person voted," 4.10 avg rating — 2,266 ratings"
1357,1358,"The Twisted Tale of Stormy Gale (Stormy Gale, #1)",Christine  Bell,score: 13,1 person voted, 3.47 avg rating — 386 ratings
1358,1358,"Don’t Bite the Sun (Four-BEE, #1)",Tanith Lee,score: 13,1 person voted, 4.15 avg rating — 583 ratings
1359,1360,Journey's End,Patricia Crossley,score: 12,1 person voted,really liked it 4.00 avg rating — 4 ratings
1360,1360,"Dinosaur Planet Survivors (Dinosaur Planet, #2)",Anne McCaffrey,score: 12,1 person voted," 3.65 avg rating — 2,713 ratings"
1361,1360,"Farseed (Seed, #2)",Pamela Sargent,score: 12,1 person voted, 3.39 avg rating — 160 ratings
1362,1360,"Drinking Sapphire Wine (Four-BEE, #2)",Tanith Lee,score: 12,1 person voted, 4.22 avg rating — 544 ratings
1363,1364,Body Electric,Susan Squires,score: 11,1 person voted, 3.50 avg rating — 149 ratings
1364,1364,"Generation Warriors (Planet Pirates, #3)",Anne McCaffrey,score: 11,1 person voted," 3.94 avg rating — 3,334 ratings"
1365,1366,Starjacked,Karin Shah,score: 10,1 person voted, 3.66 avg rating — 62 ratings
1366,1366,"Alien Abduction (Beastmen of Ator, #1)",Kaitlyn O'Connor,score: 10,1 person voted, 3.46 avg rating — 233 ratings
1367,1368,Zazen,Vanessa Veselka,score: 8,1 person voted," 3.59 avg rating — 1,223 ratings"
1368,1369,When Minds Collide (Phoenician #0.1),Marjorie F. Baldwin,score: 7,1 person voted, 4.07 avg rating — 27 ratings
1369,1370,Synthetic Dreams,Kim Knox,score: 6,1 person voted, 3.79 avg rating — 63 ratings
1370,1370,Lifegame,Alison Allen-Gray,score: 6,1 person voted, 3.91 avg rating — 66 ratings
1371,1372,"Alien Seduction (Ailunnean Shapeshifter, # 2)",Jeanine Berry,score: 5,1 person voted, 3.25 avg rating — 4 ratings
1372,1372,Fire & Frost,Meljean Brook,score: 5,1 person voted, 3.84 avg rating — 877 ratings
1373,1372,The Inheritance,Robin Hobb,score: 5,1 person voted," 3.96 avg rating — 3,198 ratings"
1374,1372,Children of the Dust,Louise Lawrence,score: 5,1 person voted," 3.97 avg rating — 1,613 ratings"
1375,1376,"The Sex Gates (Sex Gates, #1)",Jeanine Berry,score: 4,1 person voted, 3.58 avg rating — 106 ratings
1376,1376,Mizora: A Prophecy,Mary E. Bradley Lane,score: 4,1 person voted, 2.95 avg rating — 88 ratings
1377,1376,Northwest of Earth: The Complete Northwest Smith,C.L. Moore,score: 4,1 person voted, 3.87 avg rating — 250 ratings
1378,1379,"Tiger of Talmare (Frontiers of Love, #1)",Nina Croft,score: 3,1 person voted, 3.29 avg rating — 398 ratings
1379,1379,"Girl Gone Nova (Project Enterprise, #2)",Pauline Baird Jones,score: 3,1 person voted, 4.14 avg rating — 170 ratings
1380,1379,"Black on Black (Heyoka Blackeagle, #1)",K.D. Wentworth,score: 3,1 person voted, 3.53 avg rating — 423 ratings
1381,1382,Blue Nebula,Diane Dooley,score: 2,1 person voted, 3.85 avg rating — 13 ratings
1382,1382,"Stars Over Stars (Heyoka Blackeagle, #2)",K.D. Wentworth,score: 2,1 person voted, 3.68 avg rating — 297 ratings
1383,1384,"Heart of Steel (Iron Seas, #2)",Meljean Brook,score: 1,1 person voted," 3.95 avg rating — 5,447 ratings"
1384,1384,The Imperium Game,K.D. Wentworth,score: 1,1 person voted, 3.14 avg rating — 35 ratings
